rank,song,artist,last-week,peak-rank,weeks-on-board,date
53,The Next Episode,Dr. Dre Featuring Snoop Dogg,58,53,4,2000-06-17
54,What'Chu Like,Da Brat Featuring Tyrese,65,54,3,2000-06-17
55,Dance Tonight,Lucy Pearl,59,55,5,2000-06-17
56,What I Need To Do,Kenny Chesney,56,56,12,2000-06-17
57,Wobble Wobble,504 Boyz,53,17,10,2000-06-17
58,Prayin' For Daylight,Rascal Flatts,64,58,7,2000-06-17
59,Doesn't Really Matter,Janet,,59,1,2000-06-17
60,Some Things Never Change,Tim McGraw,63,60,6,2000-06-17
61,Best Of Me,Mya Featuring Jadakiss,61,50,10,2000-06-17
62,Only God Knows Why,Kid Rock,52,19,18,2000-06-17
63,I Need You,LeAnn Rimes,67,63,4,2000-06-17
64,I'll Be,Reba McEntire,69,64,6,2000-06-17
65,More,Trace Adkins,68,65,8,2000-06-17
66,I Think God Can Explain,Splender,71,66,2,2000-06-17
67,Flowers On The Wall,Eric Heatherly,72,67,8,2000-06-17
68,With Arms Wide Open,Creed,70,68,6,2000-06-17
69,I Wanna Be With You,Mandy Moore,,69,1,2000-06-17
70,Mirror Mirror,M2M,74,62,12,2000-06-17
71,"Same Script, Different Cast",Whitney Houston & Deborah Cox,,71,1,2000-06-17
72,What About Now,Lonestar,78,72,2,2000-06-17
73,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,66,40,15,2000-06-17
74,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,,74,1,2000-06-17
75,Whatever,Ideal Featuring Lil' Mo,75,75,2,2000-06-17
76,I Disappear,Metallica,81,76,6,2000-06-17
77,Monica,Before Dark,80,77,5,2000-06-17
78,It's So Hard,Big Punisher Featuring Donell Jones,76,75,9,2000-06-17
79,You Owe Me,NAS Featuring Ginuwine,82,59,13,2000-06-17
80,I Will Love Again,Lara Fabian,91,80,2,2000-06-17
81,Someday Out Of The Blue,Elton John,73,49,9,2000-06-17
82,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,79,51,16,2000-06-17
83,Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",87,83,5,2000-06-17
84,Carlene,Phil Vassar,83,45,16,2000-06-17
85,You'll Always Be Loved By Me,Brooks & Dunn,95,85,2,2000-06-17
86,One Voice,Billy Gilman,,86,1,2000-06-17
87,Been There,Clint Black With Steve Wariner,85,44,18,2000-06-17
88,When You Need My Love,Darryl Worley,98,88,2,2000-06-17
89,3 Little Words,Nu Flavor,97,89,3,2000-06-17
90,Love's The Only House,Martina McBride,92,42,20,2000-06-17
91,Nothing As It Seems,Pearl Jam,93,49,6,2000-06-17
92,Riddle,En Vogue,,92,1,2000-06-17
93,Whoa!,Black Rob,84,43,16,2000-06-17
94,That's What I'm Looking For,Da Brat,94,56,17,2000-06-17
95,Another Nine Minutes,Yankee Grey,88,74,8,2000-06-17
96,Goodbye Earl,Dixie Chicks,96,19,14,2000-06-17
97,I'm Outta Love,Anastacia,,92,3,2000-06-17
98,Back At One,Mark Wills,,36,19,2000-06-17
99,Whistle While You Twurk,Ying Yang Twins,99,74,14,2000-06-17
100,Give Me You,Mary J. Blige,,68,9,2000-06-17
1,Maria Maria,Santana Featuring The Product G&B,1,1,18,2000-06-10
2,You Sang To Me,Marc Anthony,2,2,16,2000-06-10
3,Thong Song,Sisqo,4,3,20,2000-06-10
4,Breathe,Faith Hill,3,2,32,2000-06-10
5,Be With You,Enrique Iglesias,6,5,11,2000-06-10
6,Try Again,Aaliyah,8,6,13,2000-06-10
7,The Real Slim Shady,Eminem,11,7,6,2000-06-10
8,Everything You Want,Vertical Horizon,7,6,21,2000-06-10
9,Oops!...I Did It Again,Britney Spears,12,9,8,2000-06-10
10,I Try,Macy Gray,9,5,17,2000-06-10
11,He Wasn't Man Enough,Toni Braxton,5,2,13,2000-06-10
12,I Wanna Know,Joe,10,10,24,2000-06-10
13,Higher,Creed,14,13,32,2000-06-10
14,Say My Name,Destiny's Child,13,1,25,2000-06-10
15,There You Go,P!nk,16,7,15,2000-06-10
16,Otherside,Red Hot Chili Peppers,15,14,18,2000-06-10
17,I Turn To You,Christina Aguilera,17,17,9,2000-06-10
18,Bent,matchbox twenty,21,18,7,2000-06-10
19,It's Gonna Be Me,'N Sync,26,19,6,2000-06-10
20,Bye Bye Bye,'N Sync,18,4,20,2000-06-10
21,It Feels So Good,Sonique,19,8,21,2000-06-10
22,Amazed,Lonestar,20,1,45,2000-06-10
23,Big Pimpin',Jay-Z Featuring UGK,25,23,8,2000-06-10
24,(Hot S**t) Country Grammar,Nelly,37,24,7,2000-06-10
25,Broadway,Goo Goo Dolls,29,25,8,2000-06-10
26,I Wish,Carl Thomas,22,20,12,2000-06-10
27,Smooth,Santana Featuring Rob Thomas,23,1,46,2000-06-10
28,Back Here,BBMak,34,28,7,2000-06-10
29,Crash And Burn,Savage Garden,24,24,10,2000-06-10
30,Better Off Alone,Alice Deejay,27,27,10,2000-06-10
31,Yes!,Chad Brock,32,31,10,2000-06-10
32,Swear It Again,Westlife,35,32,11,2000-06-10
33,Party Up (Up In Here),DMX,28,27,16,2000-06-10
34,Absolutely (Story Of A Girl),Nine Days,39,34,6,2000-06-10
35,Separated,Avant,30,23,7,2000-06-10
36,The Way You Love Me,Faith Hill,41,35,14,2000-06-10
37,She's More,Andy Griggs,42,37,14,2000-06-10
38,Graduation (Friends Forever),Vitamin C,40,38,9,2000-06-10
39,Shackles (Praise You),Mary Mary,31,28,12,2000-06-10
40,The Chain Of Love,Clay Walker,43,40,9,2000-06-10
41,Where I Wanna Be,Donell Jones,36,36,8,2000-06-10
42,Let's Get Married,Jagged Edge,38,38,6,2000-06-10
43,The One,Backstreet Boys,50,43,3,2000-06-10
44,Couldn't Last A Moment,Collin Raye,46,44,13,2000-06-10
45,Never Let You Go,Third Eye Blind,33,14,21,2000-06-10
46,Wifey,Next,61,46,3,2000-06-10
47,Show Me The Meaning Of Being Lonely,Backstreet Boys,45,6,24,2000-06-10
48,I Need To Know,Marc Anthony,48,3,40,2000-06-10
49,I Hope You Dance,Lee Ann Womack,55,49,5,2000-06-10
50,Unconditional,Clay Davidson,54,50,12,2000-06-10
51,Kryptonite,3 Doors Down,51,51,10,2000-06-10
52,Only God Knows Why,Kid Rock,44,19,17,2000-06-10
53,Wobble Wobble,504 Boyz,49,17,9,2000-06-10
54,How Do You Like Me Now?!,Toby Keith,52,31,20,2000-06-10
55,Desert Rose,Sting Featuring Cheb Mami,59,55,5,2000-06-10
56,What I Need To Do,Kenny Chesney,57,56,11,2000-06-10
57,"Jumpin', Jumpin'",Destiny's Child,62,57,5,2000-06-10
58,The Next Episode,Dr. Dre Featuring Snoop Dogg,67,58,3,2000-06-10
59,Dance Tonight,Lucy Pearl,63,59,4,2000-06-10
60,Purest Of Pain (A Puro Dolor),Son By Four,60,60,10,2000-06-10
61,Best Of Me,Mya Featuring Jadakiss,56,50,9,2000-06-10
62,The Best Day,George Strait,53,31,20,2000-06-10
63,Some Things Never Change,Tim McGraw,65,63,5,2000-06-10
64,Prayin' For Daylight,Rascal Flatts,66,64,6,2000-06-10
65,What'Chu Like,Da Brat Featuring Tyrese,71,65,2,2000-06-10
66,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,58,40,14,2000-06-10
67,I Need You,LeAnn Rimes,68,67,3,2000-06-10
68,More,Trace Adkins,69,68,7,2000-06-10
69,I'll Be,Reba McEntire,72,69,5,2000-06-10
70,With Arms Wide Open,Creed,74,70,5,2000-06-10
71,I Think God Can Explain,Splender,,71,1,2000-06-10
72,Flowers On The Wall,Eric Heatherly,77,72,7,2000-06-10
73,Someday Out Of The Blue,Elton John,64,49,8,2000-06-10
74,Mirror Mirror,M2M,70,62,11,2000-06-10
75,Whatever,Ideal Featuring Lil' Mo,,75,1,2000-06-10
76,It's So Hard,Big Punisher Featuring Donell Jones,76,75,8,2000-06-10
77,No Me Dejes De Querer,Gloria Estefan,,77,1,2000-06-10
78,What About Now,Lonestar,,78,1,2000-06-10
79,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,73,51,15,2000-06-10
80,Monica,Before Dark,80,80,4,2000-06-10
81,I Disappear,Metallica,81,81,5,2000-06-10
82,You Owe Me,NAS Featuring Ginuwine,75,59,12,2000-06-10
83,Carlene,Phil Vassar,78,45,15,2000-06-10
84,Whoa!,Black Rob,85,43,15,2000-06-10
85,Been There,Clint Black With Steve Wariner,84,44,17,2000-06-10
86,I Don't Wanna,Aaliyah,83,35,20,2000-06-10
87,Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",87,87,4,2000-06-10
88,Another Nine Minutes,Yankee Grey,79,74,7,2000-06-10
89,I Like It,Sammie,91,24,20,2000-06-10
90,From The Bottom Of My Broken Heart,Britney Spears,86,14,20,2000-06-10
91,I Will Love Again,Lara Fabian,,91,1,2000-06-10
92,Love's The Only House,Martina McBride,93,42,19,2000-06-10
93,Nothing As It Seems,Pearl Jam,89,49,5,2000-06-10
94,That's What I'm Looking For,Da Brat,94,56,16,2000-06-10
95,You'll Always Be Loved By Me,Brooks & Dunn,,95,1,2000-06-10
96,Goodbye Earl,Dixie Chicks,88,19,13,2000-06-10
97,3 Little Words,Nu Flavor,97,97,2,2000-06-10
98,When You Need My Love,Darryl Worley,,98,1,2000-06-10
99,Whistle While You Twurk,Ying Yang Twins,96,74,13,2000-06-10
100,Lessons Learned,Tracy Lawrence,99,40,20,2000-06-10
1,Maria Maria,Santana Featuring The Product G&B,1,1,17,2000-06-03
2,You Sang To Me,Marc Anthony,5,2,15,2000-06-03
3,Breathe,Faith Hill,2,2,31,2000-06-03
4,Thong Song,Sisqo,3,3,19,2000-06-03
5,He Wasn't Man Enough,Toni Braxton,4,2,12,2000-06-03
6,Be With You,Enrique Iglesias,8,6,10,2000-06-03
7,Everything You Want,Vertical Horizon,7,6,20,2000-06-03
8,Try Again,Aaliyah,9,8,12,2000-06-03
9,I Try,Macy Gray,6,5,16,2000-06-03
10,I Wanna Know,Joe,11,10,23,2000-06-03
11,The Real Slim Shady,Eminem,16,11,5,2000-06-03
12,Oops!...I Did It Again,Britney Spears,13,12,7,2000-06-03
13,Say My Name,Destiny's Child,10,1,24,2000-06-03
14,Higher,Creed,18,14,31,2000-06-03
15,Otherside,Red Hot Chili Peppers,14,14,17,2000-06-03
16,There You Go,P!nk,19,7,14,2000-06-03
17,I Turn To You,Christina Aguilera,20,17,8,2000-06-03
18,Bye Bye Bye,'N Sync,12,4,19,2000-06-03
19,It Feels So Good,Sonique,17,8,20,2000-06-03
20,Amazed,Lonestar,15,1,44,2000-06-03
21,Bent,matchbox twenty,22,21,6,2000-06-03
22,I Wish,Carl Thomas,21,20,11,2000-06-03
23,Smooth,Santana Featuring Rob Thomas,23,1,45,2000-06-03
24,Crash And Burn,Savage Garden,24,24,9,2000-06-03
25,Big Pimpin',Jay-Z Featuring UGK,25,25,7,2000-06-03
26,It's Gonna Be Me,'N Sync,39,26,5,2000-06-03
27,Better Off Alone,Alice Deejay,29,27,9,2000-06-03
28,Party Up (Up In Here),DMX,28,27,15,2000-06-03
29,Broadway,Goo Goo Dolls,31,29,7,2000-06-03
30,Separated,Avant,26,23,6,2000-06-03
31,Shackles (Praise You),Mary Mary,30,28,11,2000-06-03
32,Yes!,Chad Brock,33,32,9,2000-06-03
33,Never Let You Go,Third Eye Blind,27,14,20,2000-06-03
34,Back Here,BBMak,38,34,6,2000-06-03
35,Swear It Again,Westlife,37,35,10,2000-06-03
36,Where I Wanna Be,Donell Jones,41,36,7,2000-06-03
37,(Hot S**t) Country Grammar,Nelly,55,37,6,2000-06-03
38,Let's Get Married,Jagged Edge,45,38,5,2000-06-03
39,Absolutely (Story Of A Girl),Nine Days,52,39,5,2000-06-03
40,Graduation (Friends Forever),Vitamin C,40,40,8,2000-06-03
41,The Way You Love Me,Faith Hill,35,35,13,2000-06-03
42,She's More,Andy Griggs,43,42,13,2000-06-03
43,The Chain Of Love,Clay Walker,44,43,8,2000-06-03
44,Only God Knows Why,Kid Rock,32,19,16,2000-06-03
45,Show Me The Meaning Of Being Lonely,Backstreet Boys,34,6,23,2000-06-03
46,Couldn't Last A Moment,Collin Raye,48,46,12,2000-06-03
47,I Knew I Loved You,Savage Garden,46,1,33,2000-06-03
48,I Need To Know,Marc Anthony,47,3,39,2000-06-03
49,Wobble Wobble,504 Boyz,36,17,8,2000-06-03
50,The One,Backstreet Boys,58,50,2,2000-06-03
51,Kryptonite,3 Doors Down,53,51,9,2000-06-03
52,How Do You Like Me Now?!,Toby Keith,51,31,19,2000-06-03
53,The Best Day,George Strait,49,31,19,2000-06-03
54,Unconditional,Clay Davidson,56,54,11,2000-06-03
55,I Hope You Dance,Lee Ann Womack,61,55,4,2000-06-03
56,Best Of Me,Mya Featuring Jadakiss,50,50,8,2000-06-03
57,What I Need To Do,Kenny Chesney,57,57,10,2000-06-03
58,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,54,40,13,2000-06-03
59,Desert Rose,Sting Featuring Cheb Mami,72,59,4,2000-06-03
60,Purest Of Pain (A Puro Dolor),Son By Four,64,60,9,2000-06-03
61,Wifey,Next,85,61,2,2000-06-03
62,"Jumpin', Jumpin'",Destiny's Child,65,62,4,2000-06-03
63,Dance Tonight,Lucy Pearl,75,63,3,2000-06-03
64,Someday Out Of The Blue,Elton John,60,49,7,2000-06-03
65,Some Things Never Change,Tim McGraw,66,65,4,2000-06-03
66,Prayin' For Daylight,Rascal Flatts,68,66,5,2000-06-03
67,The Next Episode,Dr. Dre Featuring Snoop Dogg,78,67,2,2000-06-03
68,I Need You,LeAnn Rimes,77,68,2,2000-06-03
69,More,Trace Adkins,73,69,6,2000-06-03
70,Mirror Mirror,M2M,62,62,10,2000-06-03
71,What'Chu Like,Da Brat Featuring Tyrese,,71,1,2000-06-03
72,I'll Be,Reba McEntire,79,72,4,2000-06-03
73,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,74,51,14,2000-06-03
74,With Arms Wide Open,Creed,76,74,4,2000-06-03
75,You Owe Me,NAS Featuring Ginuwine,69,59,11,2000-06-03
76,It's So Hard,Big Punisher Featuring Donell Jones,81,75,7,2000-06-03
77,Flowers On The Wall,Eric Heatherly,82,77,6,2000-06-03
78,Carlene,Phil Vassar,59,45,14,2000-06-03
79,Another Nine Minutes,Yankee Grey,83,74,6,2000-06-03
80,Monica,Before Dark,87,80,3,2000-06-03
81,I Disappear,Metallica,88,81,4,2000-06-03
82,Forgot About Dre,Dr. Dre Featuring Eminem,80,25,20,2000-06-03
83,I Don't Wanna,Aaliyah,67,35,19,2000-06-03
84,Been There,Clint Black With Steve Wariner,63,44,16,2000-06-03
85,Whoa!,Black Rob,70,43,14,2000-06-03
86,From The Bottom Of My Broken Heart,Britney Spears,92,14,19,2000-06-03
87,Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",95,87,3,2000-06-03
88,Goodbye Earl,Dixie Chicks,86,19,12,2000-06-03
89,Nothing As It Seems,Pearl Jam,84,49,4,2000-06-03
90,Give Me You,Mary J. Blige,89,68,8,2000-06-03
91,I Like It,Sammie,93,24,19,2000-06-03
92,Me Neither,Brad Paisley,90,85,4,2000-06-03
93,Love's The Only House,Martina McBride,91,42,18,2000-06-03
94,That's What I'm Looking For,Da Brat,94,56,15,2000-06-03
95,This Time Around,Hanson,71,20,7,2000-06-03
96,Whistle While You Twurk,Ying Yang Twins,97,74,12,2000-06-03
97,3 Little Words,Nu Flavor,,97,1,2000-06-03
98,The Bad Touch,Bloodhound Gang,96,52,12,2000-06-03
99,Lessons Learned,Tracy Lawrence,99,40,19,2000-06-03
100,Love Sets You Free,Kelly Price & Friends,98,91,4,2000-06-03
1,Maria Maria,Santana Featuring The Product G&B,1,1,16,2000-05-27
2,Breathe,Faith Hill,2,2,30,2000-05-27
3,Thong Song,Sisqo,3,3,18,2000-05-27
4,He Wasn't Man Enough,Toni Braxton,4,2,11,2000-05-27
5,You Sang To Me,Marc Anthony,13,5,14,2000-05-27
6,I Try,Macy Gray,5,5,15,2000-05-27
7,Everything You Want,Vertical Horizon,6,6,19,2000-05-27
8,Be With You,Enrique Iglesias,8,8,9,2000-05-27
9,Try Again,Aaliyah,10,9,11,2000-05-27
10,Say My Name,Destiny's Child,7,1,23,2000-05-27
11,I Wanna Know,Joe,11,11,22,2000-05-27
12,Bye Bye Bye,'N Sync,9,4,18,2000-05-27
13,Oops!...I Did It Again,Britney Spears,15,13,6,2000-05-27
14,Otherside,Red Hot Chili Peppers,18,14,16,2000-05-27
15,Amazed,Lonestar,12,1,43,2000-05-27
16,The Real Slim Shady,Eminem,20,16,4,2000-05-27
17,It Feels So Good,Sonique,14,8,19,2000-05-27
18,Higher,Creed,16,16,30,2000-05-27
19,There You Go,P!nk,17,7,13,2000-05-27
20,I Turn To You,Christina Aguilera,19,19,7,2000-05-27
21,I Wish,Carl Thomas,22,20,10,2000-05-27
22,Bent,matchbox twenty,24,22,5,2000-05-27
23,Smooth,Santana Featuring Rob Thomas,21,1,44,2000-05-27
24,Crash And Burn,Savage Garden,26,24,8,2000-05-27
25,Big Pimpin',Jay-Z Featuring UGK,28,25,6,2000-05-27
26,Separated,Avant,23,23,5,2000-05-27
27,Never Let You Go,Third Eye Blind,25,14,19,2000-05-27
28,Party Up (Up In Here),DMX,27,27,14,2000-05-27
29,Better Off Alone,Alice Deejay,34,29,8,2000-05-27
30,Shackles (Praise You),Mary Mary,33,28,10,2000-05-27
31,Broadway,Goo Goo Dolls,35,31,6,2000-05-27
32,Only God Knows Why,Kid Rock,29,19,15,2000-05-27
33,Yes!,Chad Brock,39,33,8,2000-05-27
34,Show Me The Meaning Of Being Lonely,Backstreet Boys,32,6,22,2000-05-27
35,The Way You Love Me,Faith Hill,36,35,12,2000-05-27
36,Wobble Wobble,504 Boyz,31,17,7,2000-05-27
37,Swear It Again,Westlife,44,37,9,2000-05-27
38,Back Here,BBMak,52,38,5,2000-05-27
39,It's Gonna Be Me,'N Sync,51,39,4,2000-05-27
40,Graduation (Friends Forever),Vitamin C,40,40,7,2000-05-27
41,Where I Wanna Be,Donell Jones,41,41,6,2000-05-27
42,Get It On Tonite,Montell Jordan,30,4,32,2000-05-27
43,She's More,Andy Griggs,47,43,12,2000-05-27
44,The Chain Of Love,Clay Walker,48,44,7,2000-05-27
45,Let's Get Married,Jagged Edge,55,45,4,2000-05-27
46,I Knew I Loved You,Savage Garden,37,1,32,2000-05-27
47,I Need To Know,Marc Anthony,38,3,38,2000-05-27
48,Couldn't Last A Moment,Collin Raye,49,48,11,2000-05-27
49,The Best Day,George Strait,43,31,18,2000-05-27
50,Best Of Me,Mya Featuring Jadakiss,50,50,7,2000-05-27
51,How Do You Like Me Now?!,Toby Keith,45,31,18,2000-05-27
52,Absolutely (Story Of A Girl),Nine Days,59,52,4,2000-05-27
53,Kryptonite,3 Doors Down,54,53,8,2000-05-27
54,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,46,40,12,2000-05-27
55,(Hot S**t) Country Grammar,Nelly,76,55,5,2000-05-27
56,Unconditional,Clay Davidson,60,56,10,2000-05-27
57,What I Need To Do,Kenny Chesney,58,57,9,2000-05-27
58,The One,Backstreet Boys,,58,1,2000-05-27
59,Carlene,Phil Vassar,56,45,13,2000-05-27
60,Someday Out Of The Blue,Elton John,67,49,6,2000-05-27
61,I Hope You Dance,Lee Ann Womack,69,61,3,2000-05-27
62,Mirror Mirror,M2M,86,62,9,2000-05-27
63,Been There,Clint Black With Steve Wariner,53,44,15,2000-05-27
64,Purest Of Pain (A Puro Dolor),Son By Four,65,64,8,2000-05-27
65,"Jumpin', Jumpin'",Destiny's Child,71,65,3,2000-05-27
66,Some Things Never Change,Tim McGraw,66,66,3,2000-05-27
67,I Don't Wanna,Aaliyah,62,35,18,2000-05-27
68,Prayin' For Daylight,Rascal Flatts,72,68,4,2000-05-27
69,You Owe Me,NAS Featuring Ginuwine,63,59,10,2000-05-27
70,Whoa!,Black Rob,57,43,13,2000-05-27
71,This Time Around,Hanson,87,20,6,2000-05-27
72,Desert Rose,Sting Featuring Cheb Mami,88,72,3,2000-05-27
73,More,Trace Adkins,73,73,5,2000-05-27
74,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,64,51,13,2000-05-27
75,Dance Tonight,Lucy Pearl,80,75,2,2000-05-27
76,With Arms Wide Open,Creed,78,76,3,2000-05-27
77,I Need You,LeAnn Rimes,,77,1,2000-05-27
78,The Next Episode,Dr. Dre Featuring Snoop Dogg,,78,1,2000-05-27
79,I'll Be,Reba McEntire,79,79,3,2000-05-27
80,Forgot About Dre,Dr. Dre Featuring Eminem,68,25,19,2000-05-27
81,It's So Hard,Big Punisher Featuring Donell Jones,81,75,6,2000-05-27
82,Flowers On The Wall,Eric Heatherly,82,82,5,2000-05-27
83,Another Nine Minutes,Yankee Grey,74,74,5,2000-05-27
84,Nothing As It Seems,Pearl Jam,70,49,3,2000-05-27
85,Wifey,Next,,85,1,2000-05-27
86,Goodbye Earl,Dixie Chicks,61,19,11,2000-05-27
87,Monica,Before Dark,95,87,2,2000-05-27
88,I Disappear,Metallica,84,84,3,2000-05-27
89,Give Me You,Mary J. Blige,77,68,7,2000-05-27
90,Me Neither,Brad Paisley,85,85,3,2000-05-27
91,Love's The Only House,Martina McBride,75,42,17,2000-05-27
92,From The Bottom Of My Broken Heart,Britney Spears,97,14,18,2000-05-27
93,I Like It,Sammie,83,24,18,2000-05-27
94,That's What I'm Looking For,Da Brat,90,56,14,2000-05-27
95,Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",99,95,2,2000-05-27
96,The Bad Touch,Bloodhound Gang,92,52,11,2000-05-27
97,Whistle While You Twurk,Ying Yang Twins,89,74,11,2000-05-27
98,Love Sets You Free,Kelly Price & Friends,91,91,3,2000-05-27
99,Lessons Learned,Tracy Lawrence,94,40,18,2000-05-27
100,Falls Apart,Sugar Ray,98,29,20,2000-05-27
1,Maria Maria,Santana Featuring The Product G&B,1,1,15,2000-05-20
2,Breathe,Faith Hill,3,2,29,2000-05-20
3,Thong Song,Sisqo,4,3,17,2000-05-20
4,He Wasn't Man Enough,Toni Braxton,2,2,10,2000-05-20
5,I Try,Macy Gray,6,5,14,2000-05-20
6,Everything You Want,Vertical Horizon,8,6,18,2000-05-20
7,Say My Name,Destiny's Child,5,1,22,2000-05-20
8,Be With You,Enrique Iglesias,9,8,8,2000-05-20
9,Bye Bye Bye,'N Sync,7,4,17,2000-05-20
10,Try Again,Aaliyah,12,10,10,2000-05-20
11,I Wanna Know,Joe,14,11,21,2000-05-20
12,Amazed,Lonestar,10,1,42,2000-05-20
13,You Sang To Me,Marc Anthony,13,13,13,2000-05-20
14,It Feels So Good,Sonique,11,8,18,2000-05-20
15,Oops!...I Did It Again,Britney Spears,19,15,5,2000-05-20
16,Higher,Creed,16,16,29,2000-05-20
17,There You Go,P!nk,15,7,12,2000-05-20
18,Otherside,Red Hot Chili Peppers,24,18,15,2000-05-20
19,I Turn To You,Christina Aguilera,21,19,6,2000-05-20
20,The Real Slim Shady,Eminem,32,20,3,2000-05-20
21,Smooth,Santana Featuring Rob Thomas,18,1,43,2000-05-20
22,I Wish,Carl Thomas,20,20,9,2000-05-20
23,Separated,Avant,30,23,4,2000-05-20
24,Bent,matchbox twenty,29,24,4,2000-05-20
25,Never Let You Go,Third Eye Blind,22,14,18,2000-05-20
26,Crash And Burn,Savage Garden,31,26,7,2000-05-20
27,Party Up (Up In Here),DMX,27,27,13,2000-05-20
28,Big Pimpin',Jay-Z Featuring UGK,33,28,5,2000-05-20
29,Only God Knows Why,Kid Rock,25,19,14,2000-05-20
30,Get It On Tonite,Montell Jordan,23,4,31,2000-05-20
31,Wobble Wobble,504 Boyz,17,17,6,2000-05-20
32,Show Me The Meaning Of Being Lonely,Backstreet Boys,26,6,21,2000-05-20
33,Shackles (Praise You),Mary Mary,28,28,9,2000-05-20
34,Better Off Alone,Alice Deejay,36,34,7,2000-05-20
35,Broadway,Goo Goo Dolls,42,35,5,2000-05-20
36,The Way You Love Me,Faith Hill,41,36,11,2000-05-20
37,I Knew I Loved You,Savage Garden,34,1,31,2000-05-20
38,I Need To Know,Marc Anthony,37,3,37,2000-05-20
39,Yes!,Chad Brock,47,39,7,2000-05-20
40,Graduation (Friends Forever),Vitamin C,46,40,6,2000-05-20
41,Where I Wanna Be,Donell Jones,50,41,5,2000-05-20
42,That's The Way It Is,Celine Dion,35,6,28,2000-05-20
43,The Best Day,George Strait,39,31,17,2000-05-20
44,Swear It Again,Westlife,44,44,8,2000-05-20
45,How Do You Like Me Now?!,Toby Keith,43,31,17,2000-05-20
46,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,40,40,11,2000-05-20
47,She's More,Andy Griggs,48,47,11,2000-05-20
48,The Chain Of Love,Clay Walker,51,48,6,2000-05-20
49,Couldn't Last A Moment,Collin Raye,56,49,10,2000-05-20
50,Best Of Me,Mya Featuring Jadakiss,55,50,6,2000-05-20
51,It's Gonna Be Me,'N Sync,70,51,3,2000-05-20
52,Back Here,BBMak,60,52,4,2000-05-20
53,Been There,Clint Black With Steve Wariner,53,44,14,2000-05-20
54,Kryptonite,3 Doors Down,57,54,7,2000-05-20
55,Let's Get Married,Jagged Edge,66,55,3,2000-05-20
56,Carlene,Phil Vassar,52,45,12,2000-05-20
57,Whoa!,Black Rob,54,43,12,2000-05-20
58,What I Need To Do,Kenny Chesney,62,58,8,2000-05-20
59,Absolutely (Story Of A Girl),Nine Days,71,59,3,2000-05-20
60,Unconditional,Clay Davidson,69,60,9,2000-05-20
61,Goodbye Earl,Dixie Chicks,38,19,10,2000-05-20
62,I Don't Wanna,Aaliyah,63,35,17,2000-05-20
63,You Owe Me,NAS Featuring Ginuwine,67,59,9,2000-05-20
64,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,,51,12,2000-05-20
65,Purest Of Pain (A Puro Dolor),Son By Four,73,65,7,2000-05-20
66,Some Things Never Change,Tim McGraw,76,66,2,2000-05-20
67,Someday Out Of The Blue,Elton John,59,49,5,2000-05-20
68,Forgot About Dre,Dr. Dre Featuring Eminem,58,25,18,2000-05-20
69,I Hope You Dance,Lee Ann Womack,83,69,2,2000-05-20
70,Nothing As It Seems,Pearl Jam,49,49,2,2000-05-20
71,"Jumpin', Jumpin'",Destiny's Child,74,71,2,2000-05-20
72,Prayin' For Daylight,Rascal Flatts,78,72,3,2000-05-20
73,More,Trace Adkins,75,73,4,2000-05-20
74,Another Nine Minutes,Yankee Grey,77,74,4,2000-05-20
75,Love's The Only House,Martina McBride,64,42,16,2000-05-20
76,(Hot S**t) Country Grammar,Nelly,96,76,4,2000-05-20
77,Give Me You,Mary J. Blige,68,68,6,2000-05-20
78,With Arms Wide Open,Creed,84,78,2,2000-05-20
79,I'll Be,Reba McEntire,89,79,2,2000-05-20
80,Dance Tonight,Lucy Pearl,,80,1,2000-05-20
81,It's So Hard,Big Punisher Featuring Donell Jones,79,75,5,2000-05-20
82,Flowers On The Wall,Eric Heatherly,88,82,4,2000-05-20
83,I Like It,Sammie,61,24,17,2000-05-20
84,I Disappear,Metallica,86,84,2,2000-05-20
85,Me Neither,Brad Paisley,87,85,2,2000-05-20
86,Mirror Mirror,M2M,65,65,8,2000-05-20
87,This Time Around,Hanson,45,20,5,2000-05-20
88,Desert Rose,Sting Featuring Cheb Mami,98,88,2,2000-05-20
89,Whistle While You Twurk,Ying Yang Twins,85,74,10,2000-05-20
90,That's What I'm Looking For,Da Brat,72,56,13,2000-05-20
91,Love Sets You Free,Kelly Price & Friends,92,91,2,2000-05-20
92,The Bad Touch,Bloodhound Gang,82,52,10,2000-05-20
